ts,alert_type,src_ip,dst_ip,details,model_name
2025-08-08 08:26:57,DDoS,116.17.206.208,192.168.1.109,"79 sources, 1045 packets → 192.168.1.109 in 16 s",Random Forest
2025-08-08 04:26:13,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1199 SYN packets in 7 s",Linear SVM
2025-08-07 23:53:25,DDoS,160.131.131.225,192.168.1.109,"26 sources, 3076 packets → 192.168.1.109 in 15 s",Linear SVM
2025-08-07 01:58:07,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1032 packets to 192.168.1.109 in 11 s,Decision Tree
2025-08-08 16:30:01,DDoS,173.104.27.33,192.168.1.109,"97 sources, 2629 packets → 192.168.1.109 in 18 s",Random Forest
2025-08-08 00:13:29,DDoS,202.144.204.132,192.168.1.109,"55 sources, 4363 packets → 192.168.1.109 in 9 s",Linear SVM
2025-08-07 17:03:25,DDoS,207.106.9.199,192.168.1.109,"30 sources, 3430 packets → 192.168.1.109 in 6 s",Random Forest
2025-08-07 10:06:07,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 1238 SYN packets in 9 s",Linear SVM
2025-08-08 15:40:57,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 56 ports in 7 s,Random Forest
2025-08-08 13:25:30,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1377 packets to 192.168.1.109 in 8 s,Random Forest
2025-08-07 06:22:21,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1128 SYN packets in 8 s",Random Forest
2025-08-06 20:27:27,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1953 packets to 192.168.1.109 in 5 s,Decision Tree
2025-08-08 07:10:59,DDoS,202.144.204.132,192.168.1.109,"42 sources, 4016 packets → 192.168.1.109 in 15 s",Random Forest
2025-08-08 17:11:18,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 121 ports in 2 s,Random Forest
2025-08-08 09:49:28,SYN Flood,207.106.9.199,192.168.1.109,"SYN flood from 207.106.9.199, 997 SYN packets in 6 s",Linear SVM
2025-08-08 05:35:29,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1127 SYN packets in 3 s",Decision Tree
2025-08-07 22:24:35,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 1425 SYN packets in 7 s",Linear SVM
2025-08-07 16:11:03,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 1484 packets to 192.168.1.109 in 19 s,Decision Tree
2025-08-06 23:01:28,Port Scan,199.41.115.196,192.168.1.109,199.41.115.196 scanned 80 ports in 8 s,Random Forest
2025-08-08 02:09:06,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 1110 SYN packets in 8 s",Random Forest
2025-08-07 09:46:24,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 985 SYN packets in 8 s",Linear SVM
2025-08-07 03:00:26,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 85 ports in 3 s,Linear SVM
2025-08-07 07:17:03,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 55 ports in 1 s,Random Forest
2025-08-08 13:04:06,DDoS,121.40.229.158,192.168.1.109,"80 sources, 3757 packets → 192.168.1.109 in 13 s",Decision Tree
2025-08-07 10:24:22,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 136 ports in 7 s,Decision Tree
2025-08-07 17:35:49,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 113 ports in 1 s,Linear SVM
2025-08-07 11:32:06,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1273 packets to 192.168.1.109 in 8 s,Decision Tree
2025-08-06 20:34:13,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 636 SYN packets in 2 s",Decision Tree
2025-08-08 06:55:41,DDoS,102.122.195.70,192.168.1.109,"76 sources, 4080 packets → 192.168.1.109 in 17 s",Decision Tree
2025-08-08 08:51:42,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 104 ports in 8 s,Decision Tree
2025-08-08 02:38:26,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 893 packets to 192.168.1.109 in 17 s,Linear SVM
2025-08-06 23:09:41,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 131 ports in 8 s,Linear SVM
2025-08-06 22:31:23,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 590 SYN packets in 6 s",Decision Tree
2025-08-08 10:37:56,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 831 packets to 192.168.1.109 in 19 s,Linear SVM
2025-08-07 17:01:17,SYN Flood,207.106.9.199,192.168.1.109,"SYN flood from 207.106.9.199, 1281 SYN packets in 7 s",Linear SVM
2025-08-08 11:10:23,DDoS,160.131.131.225,192.168.1.109,"57 sources, 1536 packets → 192.168.1.109 in 16 s",Decision Tree
2025-08-07 08:52:15,DDoS,202.144.204.132,192.168.1.109,"94 sources, 4203 packets → 192.168.1.109 in 10 s",Linear SVM
2025-08-08 01:49:57,DDoS,116.17.206.208,192.168.1.109,"53 sources, 1896 packets → 192.168.1.109 in 15 s",Decision Tree
2025-08-07 21:59:54,DDoS,207.106.9.199,192.168.1.109,"28 sources, 1599 packets → 192.168.1.109 in 8 s",Random Forest
2025-08-08 16:12:00,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1263 SYN packets in 9 s",Linear SVM
2025-08-08 13:31:10,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 1319 SYN packets in 9 s",Decision Tree
2025-08-07 07:43:38,DDoS,116.17.206.208,192.168.1.109,"96 sources, 3849 packets → 192.168.1.109 in 5 s",Decision Tree
2025-08-07 08:03:54,DDoS,207.106.9.199,192.168.1.109,"92 sources, 2991 packets → 192.168.1.109 in 13 s",Decision Tree
2025-08-08 15:07:56,DDoS,202.144.204.132,192.168.1.109,"55 sources, 1044 packets → 192.168.1.109 in 20 s",Decision Tree
2025-08-07 16:05:08,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 576 SYN packets in 3 s",Linear SVM
2025-08-08 01:35:13,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 94 ports in 8 s,Decision Tree
2025-08-08 02:45:18,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 113 ports in 5 s,Random Forest
2025-08-07 23:38:33,DDoS,171.128.117.50,192.168.1.109,"74 sources, 2286 packets → 192.168.1.109 in 9 s",Random Forest
2025-08-07 18:30:06,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1467 SYN packets in 5 s",Random Forest
2025-08-08 03:05:36,DDoS,171.128.117.50,192.168.1.109,"30 sources, 2651 packets → 192.168.1.109 in 5 s",Random Forest
2025-08-08 16:10:01,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 67 ports in 7 s,Decision Tree
2025-08-07 13:05:06,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 105 ports in 3 s,Linear SVM
2025-08-07 00:22:14,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1573 packets to 192.168.1.109 in 8 s,Random Forest
2025-08-08 09:34:08,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1840 packets to 192.168.1.109 in 5 s,Linear SVM
2025-08-07 19:14:36,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 1525 packets to 192.168.1.109 in 10 s,Decision Tree
2025-08-07 10:34:20,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 1587 packets to 192.168.1.109 in 5 s,Random Forest
2025-08-07 18:04:18,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1813 packets to 192.168.1.109 in 9 s,Decision Tree
2025-08-07 17:45:12,DDoS,102.122.195.70,192.168.1.109,"89 sources, 4165 packets → 192.168.1.109 in 6 s",Decision Tree
2025-08-07 21:13:55,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 868 SYN packets in 1 s",Decision Tree
2025-08-08 01:23:02,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 120 ports in 1 s,Decision Tree
2025-08-07 15:56:02,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 56 ports in 8 s,Random Forest
2025-08-07 15:02:06,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1442 SYN packets in 1 s",Linear SVM
2025-08-08 17:20:37,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1090 SYN packets in 5 s",Linear SVM
2025-08-07 22:58:17,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1192 packets to 192.168.1.109 in 5 s,Random Forest
2025-08-08 01:43:15,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1319 packets to 192.168.1.109 in 20 s,Random Forest
2025-08-07 09:49:56,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1119 packets to 192.168.1.109 in 15 s,Decision Tree
2025-08-07 04:30:22,DDoS,171.128.117.50,192.168.1.109,"89 sources, 1289 packets → 192.168.1.109 in 18 s",Linear SVM
2025-08-07 14:54:09,DDoS,202.144.204.132,192.168.1.109,"40 sources, 2684 packets → 192.168.1.109 in 20 s",Random Forest
2025-08-07 07:18:30,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 816 SYN packets in 1 s",Random Forest
2025-08-08 08:30:18,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 145 ports in 3 s,Decision Tree
2025-08-07 09:11:54,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 1257 SYN packets in 2 s",Decision Tree
2025-08-07 16:43:02,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 52 ports in 1 s,Decision Tree
2025-08-07 03:39:04,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 539 packets to 192.168.1.109 in 20 s,Decision Tree
2025-08-08 03:34:42,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 107 ports in 3 s,Linear SVM
2025-08-08 06:05:44,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 1475 SYN packets in 10 s",Linear SVM
2025-08-07 18:37:51,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 100 ports in 4 s,Random Forest
2025-08-08 09:43:01,DDoS,106.238.102.25,192.168.1.109,"89 sources, 1649 packets → 192.168.1.109 in 19 s",Decision Tree
2025-08-06 22:55:02,DoS,102.122.195.70,192.168.1.109,102.122.195.70 sent 647 packets to 192.168.1.109 in 20 s,Linear SVM
2025-08-08 01:46:15,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 550 packets to 192.168.1.109 in 19 s,Random Forest
2025-08-07 18:22:20,DDoS,116.17.206.208,192.168.1.109,"50 sources, 2358 packets → 192.168.1.109 in 17 s",Linear SVM
2025-08-08 05:52:05,DDoS,171.128.117.50,192.168.1.109,"100 sources, 1260 packets → 192.168.1.109 in 18 s",Linear SVM
2025-08-07 02:23:40,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 141 ports in 2 s,Random Forest
2025-08-08 10:42:43,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 134 ports in 10 s,Random Forest
2025-08-07 08:49:40,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 613 SYN packets in 10 s",Random Forest
2025-08-08 00:14:05,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 114 ports in 7 s,Linear SVM
2025-08-07 12:23:19,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 791 packets to 192.168.1.109 in 5 s,Linear SVM
2025-08-07 12:14:04,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 144 ports in 9 s,Random Forest
2025-08-08 03:21:42,DDoS,173.104.27.33,192.168.1.109,"35 sources, 4341 packets → 192.168.1.109 in 14 s",Linear SVM
2025-08-07 20:52:10,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 1005 SYN packets in 9 s",Decision Tree
2025-08-07 13:42:25,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1838 packets to 192.168.1.109 in 5 s,Random Forest
2025-08-07 06:29:57,DDoS,160.131.131.225,192.168.1.109,"81 sources, 3584 packets → 192.168.1.109 in 7 s",Random Forest
2025-08-07 15:25:57,DoS,171.128.117.50,192.168.1.109,171.128.117.50 sent 1942 packets to 192.168.1.109 in 11 s,Linear SVM
2025-08-07 11:20:54,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 1539 packets to 192.168.1.109 in 5 s,Random Forest
2025-08-07 16:04:47,SYN Flood,207.106.9.199,192.168.1.109,"SYN flood from 207.106.9.199, 565 SYN packets in 4 s",Decision Tree
2025-08-07 13:21:04,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1692 packets to 192.168.1.109 in 5 s,Linear SVM
2025-08-06 22:06:10,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 89 ports in 3 s,Decision Tree
2025-08-08 08:32:03,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 983 SYN packets in 8 s",Random Forest
2025-08-07 14:40:16,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 80 ports in 5 s,Random Forest
2025-08-06 22:17:36,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 128 ports in 1 s,Random Forest
2025-08-08 18:14:28,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 60 ports in 9 s,Decision Tree
2025-08-07 15:12:31,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 1411 SYN packets in 10 s",Linear SVM
2025-08-07 20:03:22,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 799 SYN packets in 3 s",Decision Tree
2025-08-07 11:47:38,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 1697 packets to 192.168.1.109 in 13 s,Random Forest
2025-08-07 20:00:53,DDoS,106.238.102.25,192.168.1.109,"33 sources, 1189 packets → 192.168.1.109 in 9 s",Decision Tree
2025-08-08 11:17:22,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1970 packets to 192.168.1.109 in 9 s,Decision Tree
2025-08-08 02:13:54,DDoS,171.128.117.50,192.168.1.109,"45 sources, 2089 packets → 192.168.1.109 in 5 s",Random Forest
2025-08-08 14:15:36,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1410 SYN packets in 1 s",Linear SVM
2025-08-07 14:27:51,DDoS,207.106.9.199,192.168.1.109,"58 sources, 4904 packets → 192.168.1.109 in 8 s",Decision Tree
2025-08-07 09:49:59,DDoS,199.41.115.196,192.168.1.109,"44 sources, 2729 packets → 192.168.1.109 in 7 s",Random Forest
2025-08-08 03:17:59,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 674 SYN packets in 9 s",Decision Tree
2025-08-08 01:21:01,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 1240 SYN packets in 7 s",Linear SVM
2025-08-08 06:40:22,DDoS,160.131.131.225,192.168.1.109,"98 sources, 4260 packets → 192.168.1.109 in 6 s",Random Forest
2025-08-08 16:16:21,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 114 ports in 10 s,Linear SVM
2025-08-08 07:42:24,DDoS,121.40.229.158,192.168.1.109,"22 sources, 3245 packets → 192.168.1.109 in 11 s",Linear SVM
2025-08-07 13:17:06,DDoS,116.17.206.208,192.168.1.109,"35 sources, 4709 packets → 192.168.1.109 in 18 s",Decision Tree
2025-08-07 16:01:50,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 954 packets to 192.168.1.109 in 18 s,Linear SVM
2025-08-08 13:37:10,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 892 SYN packets in 5 s",Random Forest
2025-08-06 20:21:25,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 67 ports in 3 s,Random Forest
2025-08-08 00:35:20,DDoS,171.128.117.50,192.168.1.109,"96 sources, 1333 packets → 192.168.1.109 in 5 s",Decision Tree
2025-08-08 15:19:44,DDoS,171.128.117.50,192.168.1.109,"100 sources, 3457 packets → 192.168.1.109 in 13 s",Random Forest
2025-08-08 09:43:12,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 85 ports in 2 s,Random Forest
2025-08-06 20:30:05,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 696 packets to 192.168.1.109 in 10 s,Random Forest
2025-08-06 20:09:29,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 77 ports in 10 s,Random Forest
2025-08-07 06:06:45,SYN Flood,173.104.27.33,192.168.1.109,"SYN flood from 173.104.27.33, 549 SYN packets in 4 s",Decision Tree
2025-08-07 12:53:53,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 667 SYN packets in 7 s",Random Forest
2025-08-08 05:57:05,DDoS,202.144.204.132,192.168.1.109,"70 sources, 1615 packets → 192.168.1.109 in 10 s",Decision Tree
2025-08-08 06:24:23,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 109 ports in 7 s,Decision Tree
2025-08-08 08:29:48,DDoS,199.41.115.196,192.168.1.109,"26 sources, 4766 packets → 192.168.1.109 in 16 s",Random Forest
2025-08-07 08:39:55,DDoS,160.131.131.225,192.168.1.109,"75 sources, 3741 packets → 192.168.1.109 in 14 s",Random Forest
2025-08-08 16:17:04,SYN Flood,199.41.115.196,192.168.1.109,"SYN flood from 199.41.115.196, 1142 SYN packets in 10 s",Linear SVM
2025-08-08 07:20:56,Port Scan,102.122.195.70,192.168.1.109,102.122.195.70 scanned 76 ports in 3 s,Decision Tree
2025-08-08 08:20:42,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1064 packets to 192.168.1.109 in 19 s,Decision Tree
2025-08-07 14:55:39,DDoS,207.106.9.199,192.168.1.109,"67 sources, 2163 packets → 192.168.1.109 in 15 s",Decision Tree
2025-08-07 23:08:50,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1653 packets to 192.168.1.109 in 15 s,Random Forest
2025-08-07 01:43:00,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 864 SYN packets in 10 s",Linear SVM
2025-08-07 23:00:03,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1120 SYN packets in 2 s",Linear SVM
2025-08-06 23:20:42,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 92 ports in 2 s,Decision Tree
2025-08-08 10:11:57,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1364 packets to 192.168.1.109 in 9 s,Decision Tree
2025-08-07 12:20:28,DDoS,102.122.195.70,192.168.1.109,"54 sources, 4019 packets → 192.168.1.109 in 12 s",Random Forest
2025-08-07 21:03:33,DDoS,106.238.102.25,192.168.1.109,"37 sources, 1484 packets → 192.168.1.109 in 5 s",Random Forest
2025-08-06 21:41:19,DoS,160.131.131.225,192.168.1.109,160.131.131.225 sent 1826 packets to 192.168.1.109 in 14 s,Random Forest
2025-08-07 06:18:00,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 897 SYN packets in 9 s",Decision Tree
2025-08-07 22:54:24,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 130 ports in 2 s,Linear SVM
2025-08-08 07:59:50,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1370 packets to 192.168.1.109 in 20 s,Decision Tree
2025-08-08 13:22:18,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 523 packets to 192.168.1.109 in 12 s,Linear SVM
2025-08-08 15:49:46,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 1301 packets to 192.168.1.109 in 12 s,Random Forest
2025-08-07 08:00:12,Port Scan,207.106.9.199,192.168.1.109,207.106.9.199 scanned 142 ports in 1 s,Random Forest
2025-08-07 00:09:21,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 1837 packets to 192.168.1.109 in 12 s,Linear SVM
2025-08-08 18:08:14,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 931 SYN packets in 6 s",Linear SVM
2025-08-07 06:43:57,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 88 ports in 4 s,Decision Tree
2025-08-07 05:39:05,DDoS,207.106.9.199,192.168.1.109,"97 sources, 3326 packets → 192.168.1.109 in 15 s",Decision Tree
2025-08-08 02:54:21,Port Scan,121.40.229.158,192.168.1.109,121.40.229.158 scanned 121 ports in 9 s,Decision Tree
2025-08-08 06:20:49,DDoS,173.104.27.33,192.168.1.109,"26 sources, 4259 packets → 192.168.1.109 in 20 s",Random Forest
2025-08-07 13:50:55,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1752 packets to 192.168.1.109 in 7 s,Random Forest
2025-08-06 21:09:42,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 61 ports in 2 s,Decision Tree
2025-08-08 10:31:13,DoS,202.144.204.132,192.168.1.109,202.144.204.132 sent 919 packets to 192.168.1.109 in 20 s,Linear SVM
2025-08-07 11:28:22,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 121 ports in 1 s,Random Forest
2025-08-07 14:08:51,SYN Flood,102.122.195.70,192.168.1.109,"SYN flood from 102.122.195.70, 1475 SYN packets in 3 s",Decision Tree
2025-08-07 13:34:44,Port Scan,116.17.206.208,192.168.1.109,116.17.206.208 scanned 145 ports in 6 s,Linear SVM
2025-08-08 08:04:47,DDoS,102.122.195.70,192.168.1.109,"55 sources, 2416 packets → 192.168.1.109 in 18 s",Decision Tree
2025-08-07 00:35:05,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1097 packets to 192.168.1.109 in 8 s,Linear SVM
2025-08-08 18:42:50,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1583 packets to 192.168.1.109 in 9 s,Random Forest
2025-08-07 10:58:48,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 116 ports in 8 s,Random Forest
2025-08-08 11:06:37,DoS,171.128.117.50,192.168.1.109,171.128.117.50 sent 1126 packets to 192.168.1.109 in 11 s,Random Forest
2025-08-08 03:13:10,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 708 SYN packets in 10 s",Random Forest
2025-08-08 06:45:53,DDoS,202.144.204.132,192.168.1.109,"86 sources, 3443 packets → 192.168.1.109 in 10 s",Linear SVM
2025-08-08 13:18:16,Port Scan,199.41.115.196,192.168.1.109,199.41.115.196 scanned 114 ports in 6 s,Decision Tree
2025-08-08 06:36:11,SYN Flood,121.40.229.158,192.168.1.109,"SYN flood from 121.40.229.158, 789 SYN packets in 7 s",Decision Tree
2025-08-08 13:52:09,SYN Flood,106.238.102.25,192.168.1.109,"SYN flood from 106.238.102.25, 773 SYN packets in 6 s",Linear SVM
2025-08-08 16:40:35,DoS,207.106.9.199,192.168.1.109,207.106.9.199 sent 1603 packets to 192.168.1.109 in 10 s,Linear SVM
2025-08-06 21:45:33,DDoS,116.17.206.208,192.168.1.109,"23 sources, 4905 packets → 192.168.1.109 in 18 s",Random Forest
2025-08-08 11:58:45,Port Scan,199.41.115.196,192.168.1.109,199.41.115.196 scanned 99 ports in 8 s,Random Forest
2025-08-08 01:42:55,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1242 packets to 192.168.1.109 in 15 s,Linear SVM
2025-08-07 19:50:44,DoS,173.104.27.33,192.168.1.109,173.104.27.33 sent 1623 packets to 192.168.1.109 in 8 s,Random Forest
2025-08-06 23:09:44,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 146 ports in 8 s,Linear SVM
2025-08-07 09:53:57,SYN Flood,202.144.204.132,192.168.1.109,"SYN flood from 202.144.204.132, 513 SYN packets in 7 s",Random Forest
2025-08-08 00:13:16,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 88 ports in 1 s,Random Forest
2025-08-07 06:54:00,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 100 ports in 4 s,Linear SVM
2025-08-07 16:17:52,SYN Flood,171.128.117.50,192.168.1.109,"SYN flood from 171.128.117.50, 521 SYN packets in 8 s",Random Forest
2025-08-08 12:53:26,SYN Flood,116.17.206.208,192.168.1.109,"SYN flood from 116.17.206.208, 517 SYN packets in 4 s",Linear SVM
2025-08-08 00:11:31,DDoS,173.104.27.33,192.168.1.109,"75 sources, 3122 packets → 192.168.1.109 in 20 s",Linear SVM
2025-08-08 01:21:25,SYN Flood,207.106.9.199,192.168.1.109,"SYN flood from 207.106.9.199, 1157 SYN packets in 6 s",Random Forest
2025-08-08 05:25:38,Port Scan,173.104.27.33,192.168.1.109,173.104.27.33 scanned 144 ports in 4 s,Random Forest
2025-08-06 20:30:16,DDoS,102.122.195.70,192.168.1.109,"51 sources, 4497 packets → 192.168.1.109 in 7 s",Random Forest
2025-08-08 04:30:05,DDoS,116.17.206.208,192.168.1.109,"22 sources, 2794 packets → 192.168.1.109 in 20 s",Random Forest
2025-08-06 20:42:27,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 971 packets to 192.168.1.109 in 16 s,Random Forest
2025-08-08 15:37:22,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 823 SYN packets in 10 s",Linear SVM
2025-08-08 12:22:40,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 119 ports in 1 s,Decision Tree
2025-08-08 15:07:01,DDoS,106.238.102.25,192.168.1.109,"67 sources, 4967 packets → 192.168.1.109 in 20 s",Linear SVM
2025-08-08 05:02:16,DDoS,102.122.195.70,192.168.1.109,"73 sources, 3034 packets → 192.168.1.109 in 8 s",Linear SVM
2025-08-07 08:18:27,SYN Flood,160.131.131.225,192.168.1.109,"SYN flood from 160.131.131.225, 852 SYN packets in 6 s",Linear SVM
2025-08-07 12:04:35,Port Scan,106.238.102.25,192.168.1.109,106.238.102.25 scanned 69 ports in 4 s,Decision Tree
2025-08-08 13:46:33,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 135 ports in 7 s,Decision Tree
2025-08-08 13:04:40,Port Scan,202.144.204.132,192.168.1.109,202.144.204.132 scanned 96 ports in 7 s,Decision Tree
2025-08-08 12:14:03,Port Scan,171.128.117.50,192.168.1.109,171.128.117.50 scanned 55 ports in 7 s,Random Forest
2025-08-07 21:03:37,DoS,121.40.229.158,192.168.1.109,121.40.229.158 sent 1426 packets to 192.168.1.109 in 15 s,Decision Tree
2025-08-08 14:52:20,Port Scan,160.131.131.225,192.168.1.109,160.131.131.225 scanned 75 ports in 8 s,Decision Tree
2025-08-08 01:48:44,DDoS,106.238.102.25,192.168.1.109,"85 sources, 2637 packets → 192.168.1.109 in 6 s",Linear SVM
2025-08-08 02:54:42,DoS,199.41.115.196,192.168.1.109,199.41.115.196 sent 1836 packets to 192.168.1.109 in 5 s,Random Forest
2025-08-07 20:07:15,DoS,106.238.102.25,192.168.1.109,106.238.102.25 sent 724 packets to 192.168.1.109 in 20 s,Decision Tree
2025-08-07 17:23:34,DDoS,106.238.102.25,192.168.1.109,"92 sources, 1121 packets → 192.168.1.109 in 12 s",Decision Tree
2025-08-08 00:06:48,DoS,116.17.206.208,192.168.1.109,116.17.206.208 sent 1442 packets to 192.168.1.109 in 20 s,Linear SVM
